ID	old_ID	box	species	source	host	loc	long	lat	sequence_tag	collector	note
1	V431WJUN	1	Aeromonas enteropelogenes	blood	chicken	Xian	108.95	34.26	0	E	
2	BU390IGA	1	Klebsiella pneumoniae	sewage	pig	Wuhan	114.30	30.58	0	A	
3	DMSVPRBI	1	Shigella flexneri	blood	chicken	Xian	108.95	34.26	0	A	
4	MW9SDMDK	1	Aeromonas veronii	blood	human	Xian	108.95	34.26	2	D	
5	5T45PU43	1	Escherichia coli	sewage	human	Wuhan	114.30	30.58	2	B	
6	2CLOB0MK	1	Aeromonas veronii	env	env	Shanghai	121.47	31.23	2	D	
7	2TW8J2Z2	1	Shigella flexneri	blood	duck	Changsha	112.47	31.23	2	A	
8	J3J9VZ38	1	Acinetobacter baumannii	blood	pig	Guangzhou	113.28	23.125	0	D	
9	JES5N4LB	1	Salmonella enterica	sewage	human	Changsha	112.47	31.23	0	E	
10	SVSHXPC6	1	Shigella flexneri	blood	duck	Guangzhou	113.28	23.125	0	E	
11	MHOMUEKJ	1	Aeromonas enteropelogenes	sewage	duck	Shanghai	121.47	31.23	0	B	
12	1WSR0EY0	1	Aeromonas enteropelogenes	env	chicken	Xian	108.95	34.26	0	F	
13	H0RUYOHM	1	Aeromonas veronii	sputum	chicken	Beijing	116.41	39.90	2	E	
14	XMAK41LA	1	Klebsiella pneumoniae	env	env	Shanghai	121.47	31.23	0	F	
15	1H3E8SQD	1	Aeromonas caviae	faeces	chicken	Wuhan	114.30	30.58	0	E	
16	EYE1WU7M	1	Salmonella enterica	env	pig	Changsha	112.47	31.23	2	B	
17	BTL9I7GQ	1	Shigella flexneri	blood	pig	Changsha	112.47	31.23	0	B	
18	R8D09T49	1	Aeromonas enteropelogenes	sewage	env	Guangzhou	113.28	23.125	2	F	
19	E7GTYGKC	1	Enterobacter cloacae	blood	duck	Guangzhou	113.28	23.125	0	E	
20	14ZBRFBS	1	Aeromonas veronii	faeces	human	Xian	108.95	34.26	2	A	blabla
21	0ONVI0FL	1	Aeromonas veronii	faeces	human	Guangzhou	113.28	23.125	0	B	
22	2WPNFU6H	1	Escherichia coli	faeces	human	Xian	108.95	34.26	2	B	
23	63ZRGGJK	1	Shigella flexneri	env	env	Xian	108.95	34.26	0	C	
24	2GZB2510	1	Klebsiella pneumoniae	sewage	duck	Wuhan	114.30	30.58	3	D	
25	F4PI9GBS	1	Aeromonas enteropelogenes	sewage	chicken	Shanghai	121.47	31.23	0	C	
26	M2S9XC53	1	Aeromonas enteropelogenes	env	env	Wuhan	114.30	30.58	0	B	
27	825RM67A	1	Aeromonas enteropelogenes	env	pig	Beijing	116.41	39.90	0	C	
28	PYIVNZCS	1	Aeromonas veronii	blood	pig	Changsha	112.47	31.23	2	E	
29	6NEGKQNI	1	Klebsiella pneumoniae	faeces	duck	Wuhan	114.30	30.58	0	A	
30	HTJOSMMO	1	Escherichia coli	blood	human	Guangzhou	113.28	23.125	2	C	
31	XXAQ1DQK	1	Escherichia coli	env	chicken	Wuhan	114.30	30.58	2	D	
32	WGU0UHL0	1	Acinetobacter baumannii	blood	pig	Changsha	112.47	31.23	0	B	
33	XYUK94ZF	1	Aeromonas veronii	faeces	chicken	Shanghai	121.47	31.23	2	B	
34	69QMPU5E	1	Salmonella enterica	sputum	human	Xian	108.95	34.26	2	E	
35	4BX2L5UT	1	Aeromonas caviae	sputum	pig	Xian	108.95	34.26	0	A	
36	7RL8MXVB	1	Enterobacter cloacae	sputum	chicken	Beijing	116.41	39.90	0	E	
37	D2O568IS	1	Aeromonas veronii	sputum	pig	Guangzhou	113.28	23.125	2	F	
38	MK8EH6IE	1	Klebsiella pneumoniae	env	env	Guangzhou	113.28	23.125	0	C	
39	EB2N9GCD	1	Aeromonas enteropelogenes	sewage	pig	Beijing	116.41	39.90	0	A	
40	DIU9LGX4	1	Acinetobacter baumannii	sewage	duck	Xian	108.95	34.26	0	A	blabla
41	BTN2GVL0	1	Escherichia coli	env	env	Beijing	116.41	39.90	2	E	
42	VBGQF0NA	1	Shigella flexneri	sewage	pig	Shanghai	121.47	31.23	0	C	
43	1W908Y1H	1	Aeromonas enteropelogenes	faeces	pig	Shanghai	121.47	31.23	0	A	
44	1066CV7C	1	Acinetobacter baumannii	env	env	Xian	108.95	34.26	2	A	
45	0G9HXC3T	1	Escherichia coli	faeces	duck	Shanghai	121.47	31.23	2	E	
46	4QDEKPJC	1	Salmonella enterica	blood	duck	Guangzhou	113.28	23.125	2	B	
